"","call_detail","call_group","call_source","civil_age","civil_age_f","civil_drug","civil_etoh","civil_id","civil_instance","civil_mental","civil_race","civil_sex","civil_transient","force1","force2","force3","force4","force5","force6","force7","force8","force1_any","force2_any","force3_any","force4_any","force5_any","force6_any","force7_any","force8_any","force_officer_sum","incid_force_lev","incid_force_calc","incid_day","incid_disp","incid_id","incid_month","incid_sixhour","incid_year","officer_id","officer_precinct","officer_precinct_collapsed","officer_tenure","officer_tenure_f","resist1","resist2","resist3","resist4","resist5","resist6","resist7","resist8","threat_biohaz","threat_blunt","threat_gun","threat_gun_implied","threat_gun_replica","threat_knife","threat_other","threat_unused_weapon","threat_unarmed","threat_sum","recordcount_1","recordcount_2"
"3812","ASSIST - CITIZEN OR AGENCY","Assist","Dispatched",37.849611872,"35-49","1","0",286949,286949263519510,"0","Black","Male","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Tuesday","Release to Medical",263519510,"November",NA,2017,799521,"East Precinct","East Precinct",8.518105023,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3813","THEFT - PRIORITY","Theft","Dispatched",28.969520548,"25-34","0","0",550913,550913968526557,"0","Black","Male","Yes","Box-in VIS",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Arrest-Warrant",968526557,"March","1800-2359",2018,944541,"North Precinct","North Precinct",8.522945205,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3814","ROLLING STOLEN *H","Stolen Vehicle","Self-Initiated",23.194379756,"15-24","0","0",506557,506557473519542,"0","Black","Male","No","PFA",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Thursday","Arrest-Felony",473519542,"November",NA,2017,774521,"East Precinct","East Precinct",8.525886606,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3815","ROLLING STOLEN *H","Stolen Vehicle","Self-Initiated",36.956023592,"35-49","0","0",362343,362343473519542,"0","Black","Male","No","PFA",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Thursday","Arrest-Felony",473519542,"November",NA,2017,774521,"East Precinct","East Precinct",8.525886606,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3816","DISTURBANCE - PRIORITY","Disturbance","Dispatched",30.832477169,"25-34","0","1",384456,384456128519909,"0","Black","Male","No","Takedown","Resisted HC","Control Against Resistance",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"III","2","Saturday","Arrest-Misdemeanor",128519909,"December",NA,2017,717511,"North Precinct","North Precinct",8.52836758,"(5-10]","Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3817","PERSON CONTACT (86)","Subject Stop","Self-Initiated",18.227083333,"15-24","0","0",276091,276091628526364,"0","Black","Male","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Wednesday","Arrest-Misdemeanor",628526364,"February","1800-2359",2018,855830,"Central Precinct","Central Precinct",8.533932648,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3818","FLAGDOWN","Other","Dispatched",41.628567352,"35-49","0","0",423985,409528971423985,"0","White","Male","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Wednesday","Arrest-Felony",409528971,"September","0600-1159",2018,276671,"Central Precinct","Central Precinct",8.571033105,"(5-10]","Aggressive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3819","FOLLOW-UP","Other","Self-Initiated",18.453886986,"15-24","0","0",624903,624903657526034,"0","White","Male","No","PFA",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Wednesday","Arrest-Felony",657526034,"January","1200-1759",2018,916531,"TOD","TOD",8.571695205,"(5-10]","Passive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"3820","DISTURBANCE - PRIORITY","Disturbance","Dispatched",30.990882801,"25-34","0","1",3907482,3907482972526617,"0","White","Male","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Wednesday","Arrest-Misdemeanor",972526617,"March","1200-1759",2018,855830,"Central Precinct","Central Precinct",8.590882801,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,1,1
"3821","VANDALISM - PRIORITY","Vandalism","Dispatched",30.769444444,"25-34","1","0",3567455,6085291233569455,"0","White","Male","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Monday","Release to Medical",608529123,"October","0600-1159",2018,276671,"Central Precinct","Central Precinct",8.594444444,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3822","STABBING - WITH WEAPON *H","Assault","Dispatched",51.471263318,"50-64","0","1",223557,223557623525814,"0","Black","Female","No","PFA",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Saturday","Arrest-Misdemeanor",623525814,"January",NA,2018,860631,"North Precinct","North Precinct",8.597290715,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"3823","THREAT - WITH WEAPON *H","Threat","Dispatched",26.7254414,"25-34","0","0",587737,35527598587737,"0","White","Male","No","PFA",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Arrest-Felony",35527598,"June","1800-2359",2018,321971,"East Precinct","East Precinct",8.604893455,"(5-10]","Passive",NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,1,1
"3824","DISTURBANCE - PRIORITY","Disturbance","Dispatched",27.490230213,"25-34","0","1",3645669,7755288053645669,"0","Asian","Male","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Wednesday","Arrest-Misdemeanor",775528805,"September","1800-2359",2018,1027551,"East Precinct","East Precinct",8.610778158,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3825","WELFARE CHECK - PRIORITY","Welfare Check","Dispatched",18.884493912,"15-24","0","1",3779740,3779740250526620,"0","Hispanic","Male","Yes","Resisted HC","Takedown (IV)","Resisted HC",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"III","2","Wednesday","Arrest-Misdemeanor",250526620,"March","1800-2359",2018,935541,"North Precinct","North Precinct",8.629699391,"(5-10]","Aggressive","Aggressive","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3826","TRAFFIC STOP","Traffic Stop","Self-Initiated",34.578186834,"35-49","0","1",453427,933526817453427,"0","White","Male","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Saturday","Arrest-Misdemeanor",933526817,"April",NA,2018,1112750,"North Precinct","North Precinct",8.635721081,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3827","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE","Suspicious","Dispatched",36.428780441,"35-49","0","0",3643549,3643549392526661,"0","White","Male","Yes","Takedown (II and III)",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Sunday","Arrest-Felony",392526661,"March","1200-1759",2018,940541,"Central Precinct","Central Precinct",8.639739346,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3828","DISTURBANCE - WITH WEAPON *H","Disturbance","Dispatched",28.205038052,"25-34","0","0",607110,607110420525732,"1","White","Male","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Arrest-Warrant",420525732,"January","1800-2359",2018,777521,"Central Precinct","Central Precinct",8.643394216,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3829","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE","Suspicious","Dispatched",42.890165525,"35-49","0","1",540781,53527158540781,"0","Hispanic","Male","Yes","CEW","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"II","3","Friday","Arrest-Misdemeanor",53527158,"May","1800-2359",2018,944541,"North Precinct","North Precinct",8.657288813,"(5-10]","Aggressive","Aggressive",NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,1,1
"3830","ROLLING STOLEN *H","Stolen Vehicle","Self-Initiated",24.68168379,"25-34","0","0",3462259,5325271833462259,"0","White","Male","No","Box-in VIS","Takedown (II and III)",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Sunday","Arrest-Warrant",532527183,"May","1800-2359",2018,944541,"North Precinct","North Precinct",8.662505708,"(5-10]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3831","FLAGDOWN","Other","Self-Initiated",42.091900685,"35-49","0","0",341628,223526940341628,"0","White","Male","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Tuesday","Arrest-Cited",223526940,"April","1200-1759",2018,855830,"Central Precinct","Central Precinct",8.664503425,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3832","SHOOTING - WITH WEAPON *H","Assault","Dispatched",71.990844749,"65+","0","0",168270,168270733517875,"0","Black","Male","No","PFA",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,NA,NA,"Monday","Release to Medical",733517875,"July",NA,2017,202461,"North Precinct","North Precinct",8.681255708,"(5-10]","Passive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"3833","DISTURBANCE - WITH WEAPON *H","Disturbance","Dispatched",36.08640411,"35-49","0","0",293776,215527040293776,"0","White","Male","Yes","Control Against Resistance","Takedown (II and III)",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Wednesday","Arrest-Felony",215527040,"April","1200-1759",2018,855830,"Central Precinct","Central Precinct",8.68640411,"(5-10]","Aggressive","Aggressive",NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,1,1
"3834","DISTURBANCE - WITH WEAPON *H","Disturbance","Dispatched",31.854794521,"25-34","1","0",530984,530984591519923,"0","Hispanic","Male","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Monday","Release to Medical",591519923,"December",NA,2017,698511,"East Precinct","East Precinct",8.698630137,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"3835","UNWANTED PERSON","Unwanted Person","Dispatched",27.27656583,"25-34","1","0",3888656,3888656955525977,"0","Black","Female","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Saturday","Arrest-Misdemeanor",955525977,"January","1800-2359",2018,758521,"Central Precinct","Central Precinct",8.70396309,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3836","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE","Suspicious","Self-Initiated",26.395028539,"25-34","1","0",429914,42991421526028,"0","White","Male","No","PFA",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Wednesday","Arrest-Felony",21526028,"January","0000-0559",2018,799521,"East Precinct","East Precinct",8.712836758,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,1,1
"3837","DISTURBANCE - PRIORITY","Disturbance","Dispatched",28.067359209,"25-34","0","1",3789151,3789151635526084,"1","White","Male","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Sunday","Release to Medical",635526084,"February","1200-1759",2018,245070,"Central Precinct","Central Precinct",8.724893455,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,1,1
"3838","TRAFFIC STOP","Traffic Stop","Self-Initiated",34.82163242,"35-49","0","1",520111,520111595525743,"0","White","Male","Yes","Takedown (II and III)","Resisted HC","Control Against Resistance",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"III","2","Saturday","Arrest-Warrant",595525743,"January","1800-2359",2018,717511,"North Precinct","North Precinct",8.733961187,"(5-10]","Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3839","WELFARE CHECK - PRIORITY","Welfare Check","Dispatched",22.718006088,"15-24","1","0",2022105,2022105240526610,"0","White","Male","No","Control Against Resistance","Takedown (IV)",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Wednesday","Arrest-Misdemeanor",240526610,"March","0000-0559",2018,795521,"Central Precinct","Central Precinct",8.750882801,"(5-10]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3840","VEHICLE STOLEN - PRIORITY","Stolen Vehicle","Dispatched",19.088527397,"15-24","0","0",3895451,3895451210526199,"1","Black","Female","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Wednesday","Release to Medical",210526199,"February","0600-1159",2018,774521,"East Precinct","East Precinct",8.751541096,"(5-10]","Aggressive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3841","DISTURBANCE - PRIORITY","Disturbance","Dispatched",34.641400304,"35-49","1","0",3867905,3867905803519645,"1","White","Male","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Sunday","Release to Medical",803519645,"December",NA,2017,588501,"Central Precinct","Central Precinct",8.753729072,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3842","WELFARE CHECK - COLD","Welfare Check","Dispatched",49.229328387,"50-64","1","0",129358,129358356525751,"0","White","Male","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"II","3","Wednesday","Release to Medical",356525751,"January","1200-1759",2018,698511,"East Precinct","East Precinct",8.763574962,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,1,1,1
"3843","ASSIST - CITIZEN OR AGENCY","Assist","Dispatched",25.165724886,"25-34","0","0",1642691,1642691847525886,"1","White","Female","No","Control Against Resistance","Takedown (IV)",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Friday","Release to Medical",847525886,"January","0600-1159",2018,698511,"East Precinct","East Precinct",8.768464612,"(5-10]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3844","DETAIL","Other","Self-Initiated",28.869691781,"25-34","0","0",3432329,343232965525908,"0","White","Female","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Sunday","Arrest-Felony",65525908,"January","0600-1159",2018,744521,"Transit (PPB Only)","Transit",8.77380137,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3845","VEHICLE RECOVERED","Stolen Vehicle","Dispatched",39.913546423,"35-49","1","0",500540,500540675518304,"0","White","Male","Yes","CEW","CEW","CEW",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,NA,NA,"Sunday","Arrest-Felony",675518304,"August",NA,2017,212461,"East Precinct","East Precinct",8.773820396,"(5-10]","Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3846","ASSAULT - PRIORITY","Assault","Dispatched",21.249958143,"15-24","1","0",591224,591224390526321,"1","White","Female","No","Control Against Resistance","Takedown (II and III)","Resisted HC",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"III","2","Sunday","Arrest-Misdemeanor",390526321,"February","0000-0559",2018,596300,"East Precinct","East Precinct",8.781464992,"(5-10]","Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"3847","PERSON CONTACT (86)","Subject Stop","Self-Initiated",33.799240868,"25-34","0","0",499297,499297843526386,"0","Native American","Male","Yes","Takedown (IV)",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Arrest-Warrant",843526386,"March","1200-1759",2018,777521,"Central Precinct","Central Precinct",8.796501142,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3848","PERSON CONTACT (86)","Subject Stop","Self-Initiated",22.615019026,"15-24","0","0",3534292,5325275533534292,"0","Hispanic","Female","Yes","Resisted HC","Takedown (IV)",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Tuesday","Arrest-Misdemeanor",532527553,"June","0600-1159",2018,855830,"Central Precinct","Central Precinct",8.79858067,"(5-10]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3849","DISTURBANCE - WITH WEAPON *H","Disturbance","Dispatched",35.920500381,"35-49","0","1",603824,603824700519864,"0","Asian","Male","No","PFA","Takedown",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Tuesday","Arrest-Misdemeanor",700519864,"December",NA,2017,280471,"North Precinct","North Precinct",8.799952435,"(5-10]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"3850","TRAFFIC STOP","Traffic Stop","Self-Initiated",24.998877473,"25-34","1","0",404785,502527392404785,"0","White","Male","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Wednesday","Arrest-Felony",502527392,"May","1200-1759",2018,819521,"Youth Services","Other",8.801617199,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3851","ROBBERY - WITH WEAPON *H","Robbery","Dispatched",28.948002283,"25-34","0","0",450314,450314115526439,"0","Black","Male","No","PFA",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Wednesday","Arrest-Felony",115526439,"March",NA,2018,799521,"East Precinct","East Precinct",8.808276256,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"3852","SUSPICIOUS - PRIORITY","Suspicious","Dispatched",28.604866819,"25-34","0","1",1080323,6195278841080323,"0","Black","Female","No","Control Against Resistance","Resisted HC",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Sunday","Arrest-Misdemeanor",619527884,"July","1800-2359",2018,944541,"North Precinct","North Precinct",8.815825723,"(5-10]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3853","ECIT","Behavioral Health","Dispatched",42.958976408,"35-49","1","0",3790378,2755269003790378,"1","White","Female","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Saturday","Release to Medical",275526900,"April",NA,2018,861531,"Central Precinct","Central Precinct",8.816510654,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3854","RESTRAINING ORDER VIOLATION - PRIORITY","Restraining Order Violation","Dispatched",22.307039574,"15-24","0","0",576825,576825575526153,"0","White","Male","Yes","CEW",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"II","3","Saturday","Arrest-Felony",575526153,"February","0000-0559",2018,717511,"North Precinct","North Precinct",8.827587519,"(5-10]","Aggressive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,1,1,1
"3855","TRAFFIC STOP","Traffic Stop","Self-Initiated",34.821617199,"35-49","0","1",520111,520111595525743,"0","White","Male","Yes","Takedown (II and III)","Control Against Resistance","Resisted HC",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"III","2","Saturday","Arrest-Warrant",595525743,"January","1800-2359",2018,280471,"North Precinct","North Precinct",8.84901446,"(5-10]","Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3856","WELFARE CHECK - PRIORITY","Welfare Check","Dispatched",43.9793379,"35-49","1","0",610894,610894168518749,"0","White","Male","Yes","Takedown","Resisted HC",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Sunday","Release to Medical",168518749,"September",NA,2017,212461,"East Precinct","East Precinct",8.869748858,"(5-10]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3857","TRAFFIC STOP","Traffic Stop","Self-Initiated",24.007855784,"25-34","0","0",556492,163527359556492,"0","Black","Male","Yes","Control Against Resistance","Takedown (II and III)",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Sunday","Arrest-Felony",163527359,"May","1800-2359",2018,916531,"TOD","TOD",8.870869482,"(5-10]","Active","Aggressive",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"3858","ECIT","Behavioral Health","Dispatched",30.518504566,"25-34","1","0",585673,451527162585673,"0","White","Male","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Saturday","Release to Medical",451527162,"May","0600-1159",2018,861531,"Central Precinct","Central Precinct",8.87466895,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3859","WARRANT","Warrant","Self-Initiated",35.161211948,"35-49","1","0",600102,600102452525852,"0","White","Male","No","PFA",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Tuesday","Arrest-Warrant",452525852,"January","1800-2359",2018,623511,"Family Services","Other",8.876280441,"(5-10]","Passive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"3860","VANDALISM - PRIORITY","Vandalism","Dispatched",29.178158295,"25-34","1","0",459427,459427833518796,"0","White","Male","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Thursday","Arrest-Misdemeanor",833518796,"September",NA,2017,212461,"East Precinct","East Precinct",8.879528158,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,1,1
"3861","SCHOOL INCIDENT - PRIORITY","School Incident","Dispatched",8.122460046,"0-14","0","0",1868188,1868188467518812,"0","Black","Male","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Detained and Released",467518812,"September",NA,2017,212461,"East Precinct","East Precinct",8.884103881,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3862","UNWANTED PERSON","Unwanted Person","Dispatched",24.94206621,"25-34","0","0",3893021,389302175526388,"0","Hispanic","Male","Yes","Resisted HC","Takedown (II and III)","Control Against Resistance",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"III","2","Friday","Arrest-Other Agency",75526388,"March","1800-2359",2018,744521,"Transit (PPB Only)","Transit",8.884531963,"(5-10]","Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,1,1,1
"3863","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE","Suspicious","Self-Initiated",39.918460807,"35-49","0","0",462183,46218332519238,"0","White","Male","No","PFA",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Saturday","Detained and Released",32519238,"October",NA,2017,354481,"East Precinct","East Precinct",8.893803272,"(5-10]","Passive",NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,1,1
"3864","PERSON CONTACT (86)","Subject Stop","Self-Initiated",34.493428463,"35-49","0","0",403528,449526852403528,"0","White","Male","Yes","CEW",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Tuesday","Escaped",449526852,"April","0000-0559",2018,774521,"East Precinct","East Precinct",8.901647641,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"3865","DISTURBANCE - PRIORITY","Disturbance","Dispatched",NA,NA,"0","1",331479,456526912331479,"0","Black","Male","Yes","Control Against Resistance","Takedown (IV)",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Sunday","Arrest-Misdemeanor",456526912,"April","0000-0559",2018,799521,"East Precinct","East Precinct",8.915435693,"(5-10]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3866","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE","Suspicious","Dispatched",31.188042237,"25-34","1","0",410740,410740400526541,"1","White","Male","Yes","Takedown (IV)","Control Against Resistance","Resisted HC",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"IV","1","Thursday","Arrest-Other Agency",400526541,"March","1200-1759",2018,744521,"Transit (PPB Only)","Transit",8.919549087,"(5-10]","Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"3867","ROBBERY - PRIORITY *H","Robbery","Dispatched",46.251866438,"35-49","0","0",291161,291161456517982,"0","White","Male","No","Takedown",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,NA,NA,"Tuesday","Arrest-Misdemeanor",456517982,"July",NA,2017,1043450,"North Precinct","North Precinct",8.934058219,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"3868","THEFT - COLD","Theft","Dispatched",45.32266933,"35-49","0","1",3784993,3784993208519339,"0","Black","Male","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Sunday","Arrest-Felony",208519339,"November",NA,2017,334481,"East Precinct","East Precinct",8.93636796,"(5-10]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,1,1,1
